W,L
3.215,0.0
3.28,0.0049923940947813605
3.25,-0.021983920690971104
3.185,-0.03676577044231877
3.105,-0.05433485960437068
3.09,-0.057552691073199824
3.09,-0.057552691073199824
3.085,-0.058619953937437685
3.085,-0.06861995393743747
3.075,-0.07074646348202052
3.07,-0.07180571190475327
3.04,-0.07810516802905987
3.0,-0.08635525687114409
3.0,-0.0763552568711443
2.995,-0.07737454880239447
2.93,-0.0903838519759681
2.825,-0.11045481892465503
2.735,-0.10673497812711474
2.67,-0.10796524183382594
2.645,-0.09216711640963204
2.6,-0.06956642914088462
2.57,0.025617687539982725
2.57,0.03561768753998251
2.57,0.08561768753998322
2.57,0.11561768753998258
2.57,0.14561768753998372
2.57,0.1556176875399835
2.585,0.1480139415395918
2.605,0.15124531144761555
2.605,0.1312453114476142
2.61,0.1320596518440933
2.64,0.13700032639036408
2.695,0.1463018416652737
2.815,0.1676942678613198
3.01,0.20569130142324
3.085,0.24138004606256303
3.135,0.28217307578523787
3.26,0.3203306968372015
3.285,0.3561645870316106
3.285,0.4761645870316098
3.36,1.024073163756464
3.44,1.1438513973584392
3.445,1.1451107915600822
3.45,1.156372927941936
3.475,1.1827247801433387
3.485,1.1852847539960116
3.51,1.2217328473543017
3.52,1.264331371292192
3.535,1.2882498491328853
3.615,1.7795689546888482
3.68,1.9274145942577459
3.68,1.9274145942577459
3.715,1.9372193183638213
3.735,1.9428836850684945
3.745,1.9457327188706657
3.755,1.9485929996103035
3.76,1.950027360717888
3.765,1.9414645373297361
3.78,1.9457929728405183
3.79,1.948692697283434
3.795,1.9501467935645849
3.795,1.9601467935645847
3.805,1.9630634606605017
3.81,1.9645260340507829
3.805,1.9630634606605017
3.805,1.9630634606605017
3.8,1.9616037142615674
3.8,1.9916037142615686
3.805,1.9930634606605029
3.81,1.994526034050784
3.82,1.9974596669793936
3.76,2.0200273607178882
3.775,2.17434734212285
3.775,2.1643473421228503
3.775,2.1643473421228503
3.775,2.17434734212285
3.775,2.1943473421228497
3.775,2.2143473421228492
3.775,2.26434734212285
3.78,2.2657929728405186
3.79,2.2486926972834347
3.79,2.2486926972834347
3.795,2.2501467935645856
3.8,2.2516037142615684
3.765,2.241464537329737
3.77,2.242904530709197
3.77,2.242904530709197
3.77,2.242904530709197
3.77,2.242904530709197
3.765,2.241464537329737
3.765,2.231464537329737
3.77,2.232904530709197
3.775,2.2343473421228506
3.785,2.2372414241352736
3.785,2.2372414241352736
3.785,2.2372414241352736
3.79,2.238692697283435
3.795,2.240146793564586
3.795,2.2201467935645844
3.795,2.2101467935645847
3.79,2.2086926972834338
3.8,2.2116037142615674
3.815,2.2159914357250905
3.825,2.218930729112955
3.815,2.2159914357250905
3.81,2.214526034050783
3.805,2.2130634606605017
3.805,2.2130634606605017
3.81,2.214526034050783
3.815,2.2159914357250905
3.81,2.214526034050783
3.81,2.214526034050783
3.795,2.2101467935645847
3.785,2.2072414241352725
3.785,2.1972414241352727
3.775,2.1943473421228497
3.78,2.1957929728405183
3.785,2.1972414241352727
3.775,2.1943473421228497
3.765,2.191464537329736
3.76,2.190027360717888
3.77,2.192904530709196
3.77,2.1729045307091965
3.77,2.1729045307091965
3.745,2.1657327188706663
3.745,2.1557327188706665
3.745,2.1557327188706665
3.745,2.1557327188706665
3.745,2.1657327188706663
3.84,2.2133609138314494
3.845,2.2148433125408697
3.815,2.2059914357250907
3.815,2.2059914357250907
3.805,2.203063460660502
3.81,2.214526034050783
3.81,2.214526034050783
3.81,2.2245260340507826
3.81,2.2745260340507834
3.835,2.321881351231447
3.84,2.34336091383145
3.84,2.3733609138314495
3.865,2.420801294839695
3.935,2.6220129803441363
3.985,2.74750737149553
4.025,2.870109864921897
4.12,3.0607826971073138
4.165,3.175678614409682
4.185,3.2323751064053354
4.21,3.3008117727183457
4.23,3.357614069296817
4.29,3.548304502651254
4.33,3.7223354499687336
4.375,3.8383484324793926
4.45,4.075576865802205
4.53,4.365370497843758
4.615,4.6678826223369505
4.67,4.7893942992892296
4.685,4.835326233463139
4.69,4.887309765822019
4.74,5.067316679669634
4.825,5.362048800738949
4.93,5.746219002353099
5.03,6.139603932793037
5.05,6.238436866828454
5.05,6.258436866828454
5.085,6.3640205182561775
5.3925,6.632140229966005
5.495,6.993321925436088
5.512499999999999,7.125857371809103
5.515,7.132020227120378
5.5175,7.133184759956375
5.505,7.127378858135957
5.5075,7.138536688602484
5.51,7.149696192732197
5.51,7.149696192732197
5.51,7.144696192732196
5.51,7.139696192732197
5.51,7.129696192732197
5.51,7.129696192732197
5.51,7.129696192732197
5.51,7.139696192732197
5.51,7.144696192732196
5.46,7.121822661130522
5.46,7.1268226611305225
5.46,7.181822661130522
5.4825,7.373685410459002
5.48,7.38755418653308
5.4825,7.3936854104590015
5.4775,7.431424614919111
5.51,7.570558463896626
5.577500000000001,8.012249472792794
5.630000000000001,8.439005043348594
5.6850000000000005,8.960739949630963
5.717499999999999,9.290163391004807
5.755,9.774649793752642
5.79,10.207799845433696
5.82,10.630289587647486
5.84,10.94422231920802
5.84,10.949222319208019
5.84,10.96422231920802
5.842499999999999,11.061232185106451
5.842499999999999,11.076232185106448
5.842499999999999,11.076232185106448
5.842499999999999,11.096232185106448
5.862500000000001,11.425062206169514
5.89,11.947005033900503
5.9025,12.309834787827114
5.9225,12.800944540424393
5.9350000000000005,13.077532583880629
5.9375,13.27385561465892
5.942500000000001,13.35650711128488
5.945,13.362835580396915
5.945,13.402835580396918
5.945,13.402835580396918
5.945,13.407835580396917
5.945,13.407835580396917
5.945,13.362835580396915
5.945,13.357835580396916
5.945,13.357835580396916
5.945,13.357835580396916
5.945,13.357835580396916
5.945,13.357835580396916
5.945,13.362835580396915
5.945,13.362835580396915
5.945,13.407835580396917
5.945,13.417835580396916
5.945,13.417835580396916
5.945,13.417835580396916
5.945,13.437835580396918
5.945,13.447835580396916
5.945,13.467835580396915
5.945,13.467835580396915
5.945,13.477835580396917
5.945,13.477835580396917
5.945,13.477835580396917
5.945,13.477835580396917
5.945,13.482835580396916
5.945,13.527835580396916
5.945,13.542835580396915
5.945,13.672835580396917
5.945,13.767835580396918
5.945,13.842835580396915
5.945,13.922835580396917
5.95,14.250497968411528
5.955,14.678167633786014
5.9625,15.172185805849033
5.95,15.507335276116669
5.945,15.846419715773557
5.9350000000000005,16.397718943653977
5.9175,17.31278552215374
5.8875,18.653636551067294
5.83,20.088598051253904
5.8149999999999995,20.51475446361995
5.8025,20.869726800594812
5.795,21.064026939714495
5.77,21.526417316364657
5.7475000000000005,22.122807807521284
5.7275,22.524636428216123
5.7075,22.787425308431523
5.6899999999999995,23.18460672581908
5.672499999999999,23.513717998575146
5.645,23.96377204481084
5.625,24.453548995216146
5.6075,24.811622217401627
5.592499999999999,25.1298607552399
5.58,25.412559796935486
5.57,25.745421522698884
5.5600000000000005,26.232167039403627
5.5375,26.886603541095973
5.525,27.53934947648827
5.5075,28.037378954118566
5.5,28.243747975856095
5.4875,28.739198278558327
5.4625,29.336230109951323
5.452500000000001,29.51646050194507
5.4325,29.882079365093624
5.425000000000001,30.234812907581144
5.4175,30.381273838797455
5.4,30.75301158588821
5.380000000000001,31.197250190512378
5.365,31.572669622805044
5.3475,32.00430230947664
5.3325,32.39338662265919
5.3175,32.847454428660434
5.3075,33.12378976124339
5.305,33.32127606284142
5.29,33.49890250002678
5.29,33.55890250002678
5.2925,33.62643010492968
5.2925,33.66143010492967
5.2925,33.851430104929676
5.279999999999999,34.132957887898634
5.2625,34.492229216621425
5.245,34.89652794852366
5.2425,34.95040990886648
5.2425,34.95040990886648
5.2425,34.95040990886648
5.237500000000001,34.948178756053615
5.2275,35.23796453870497
5.225,35.236851423143165
5.235,34.9470656404918
5.2325,34.94595416389389
5.2225,35.24073994654525
5.2225,35.25073994654524
5.2225,35.25073994654524
5.2225,35.25573994654525
5.2225,35.25573994654525
5.2225,35.28573994654525
5.2225,35.32573994654524
5.2225,35.34073994654524
5.2225,35.36073994654525
5.2225,35.45073994654524
5.217499999999999,35.745612163209195
5.2075,36.055315359114
5.2075,36.105315359114
5.2075,36.245315359113995
5.1975,36.80496371969152
5.17,37.48228739079591
5.16,37.75788397846155
5.1274999999999995,38.76324314125741
5.1175,38.993885272630024
5.115,39.137799858805224
5.115,39.28279985880522
5.09,40.05110740732013
5.07,40.1874822857553
5.055,40.31608109366659
5.0375,40.8604883848365
5.0375,41.0354883848365
5.0275,41.31961468062714
5.015000000000001,41.58604100026605
5.0024999999999995,41.9507926557027
5.0024999999999995,42.07079265570269
5.0,42.16474737980616
4.9875,42.60778658207643
4.9725,42.98973395531928
4.9675,43.06765770685113
4.9675,43.14765770685113
4.965,43.42490695092395
4.955,43.780599178874404
4.95,44.12006805236576
4.945,44.24800131551777
4.93,44.62659177295639
4.904999999999999,44.99431699423882
4.8975,45.191271316195454
4.8725,45.70402914916275
4.8575,46.06941164377989
4.845000000000001,46.48079785532222
4.8325,46.93718508981587
4.8149999999999995,47.49105039928295
4.805,47.67712371481011
4.7925,48.206633647621615
4.779999999999999,48.66612074530565
4.765000000000001,49.039616530109136
4.7625,49.15364954045732
4.7625,49.24364954045733
4.755000000000001,49.55002664745942
4.755000000000001,49.64002664745942
4.755000000000001,49.725026647459416
4.7475,50.08829657793204
4.734999999999999,50.41769937293387
4.725,50.711924781580265
4.7175,51.0651655887536
4.7125,51.424349876850115
4.7025,51.74161358024614
4.6899999999999995,52.122922129739344
4.68,52.560175729654844
4.6625,52.9996045324295
4.65,53.39890980470926
4.635,53.80226244767221
4.6274999999999995,54.12744947745408
4.615,54.57375346212497
4.6075,54.87894619482553
4.6025,55.175058482696116
4.59,55.63429919628914
4.5725,56.2075315916953
4.5649999999999995,56.46980425530424
4.5600000000000005,56.7409003988855
4.5575,56.80999580103278
4.555,57.02199492242089
4.547499999999999,57.14718623418893
4.545,57.241286142512834
4.54,57.49738043092941
4.529999999999999,57.93244327953766
4.5175,58.48371872349297
4.512499999999999,58.69693801365139
4.4975000000000005,59.290191447569825
4.475,60.031459326671346
4.467499999999999,60.41165487341756
4.465,60.74360119422707
4.46,61.03466972529688
4.452500000000001,61.46267371782784
4.4399999999999995,61.90172443972225
4.4350000000000005,62.22778042065257
4.43,62.53383480945324
4.4275,62.78575340497193
4.425,62.85988760720629
4.42,63.08093881499118
4.4175,63.30007597859057
4.41,63.49303646496118
4.404999999999999,63.75908290929223
4.4025,64.07598616837367
4.3975,64.43702796537235
4.3875,64.97185328297482
4.380000000000001,65.33477072231284
4.3675,65.6859739147408
4.365,65.97512436459184
4.3625,66.30200013558644
4.359999999999999,66.58387286156214
4.359999999999999,66.63387286156214
4.359999999999999,66.66387286156214
4.359999999999999,66.71387286156214
4.3525,66.98176110786855
4.3475,67.04006936570937
4.345000000000001,67.08922569986314
4.3375,67.33210766910244
4.335,67.44626694068941
4.3325,67.73812446887615
4.33,67.8872852080069
4.32,68.27931704157523
4.3149999999999995,68.70533060986854
4.3075,69.06818498936309
4.305,69.23235305456126
4.2975,69.56519825992743
4.2975,69.69019825992743
4.2925,69.98120255546995
4.285,70.214032559909
4.285,70.30403255990899
4.2825,70.55320647209334
4.275,70.82602733166685
4.2725,71.02520416276323
4.27,71.24938245217692
4.2675,71.47120067585492
4.2625,71.69219563544061
4.26,71.77137683922095
4.255000000000001,72.01499823821491
4.255000000000001,72.09999823821491
4.25,72.43598708790611
4.2425,72.78877457213508
4.234999999999999,73.10894434800237
4.234999999999999,73.25394434800236
4.2325,73.54573853174031
4.2325,73.6207385317403
4.2325,73.6457385317403
4.23,73.64492700829369
4.23,73.64992700829369
4.23,73.64992700829369
4.23,73.64992700829369
4.23,73.64992700829369
4.2275,73.90671819479834
4.2275,73.91171819479834
4.2275,73.91671819479834
4.2275,73.96171819479834
4.2275,73.97171819479834
4.2275,73.97671819479834
4.2275,73.98671819479833
4.2275,73.98671819479833
4.2275,73.99171819479834
4.2275,74.01671819479833
4.2275,74.02171819479832
4.2275,74.03171819479834
4.2275,74.05671819479834
4.2275,74.08671819479834
4.225,74.13090812366795
4.2225,74.44769631464962
4.220000000000001,74.71448151181445
4.220000000000001,74.86948151181446
4.2125,75.19964792858696
4.2075,75.57562142459471
4.205,75.90981715532928
4.199999999999999,76.26079056059913
4.1925,76.63353268025645
4.1925,77.02853268025645
4.1875,77.53706423799053
4.18,78.07722714080828
4.175000000000001,78.38563451889324
4.17,78.66904767400516
4.17,78.74904767400514
4.1675,78.93825641614265
4.1675,79.00325641614265
4.1625,79.20677009697957
4.1625,79.31677009697957
4.1575,79.77027187652925
4.1575,79.90527187652924
4.154999999999999,80.24201830746131
4.154999999999999,80.37201830746132
4.154999999999999,80.45201830746132
4.1525,80.83376176803145
4.1525,80.89876176803145
4.1525,80.96376176803145
4.1525,81.03876176803143
4.1475,81.43223978466145
4.1475,81.54223978466146
4.145,81.9089743439991
4.1425,82.24070593953037
4.137499999999999,82.62164475711768
4.135,82.99585638273075
4.1325,83.44258205553196
4.125,84.00773234190916
4.1225000000000005,84.37945209846416
4.12,84.80616889931761
4.1175,85.22788274607862
4.115,85.57209869154899
4.11,85.92302696982435
4.105,86.0564660505926
4.1025,86.42317399398027
4.1025,86.54317399398028
4.1,86.91987898807929
4.1,87.24987898807929
4.1,87.34987898807928
4.0975,87.64158103448298
4.0975,87.89158103448298
4.0975,87.98158103448299
4.09,88.1367249612054
4.0875,88.17594952728393
4.0875,88.28094952728392
4.085,88.42017552767422
4.085,88.59517552767423
4.085,88.76517552767422
4.0825,89.05687168345204
4.0825,89.29187168345204
4.08,89.59609911745702
4.075,89.93702119722072
4.0725,90.48371146869965
4.07,90.83294176784955
4.0675,91.1421734985332
4.065,91.53886083022564
4.0625,91.84309399175288
4.0625,92.12809399175288
4.0600000000000005,92.36977838522898
4.0600000000000005,92.79977838522899
4.0600000000000005,93.01977838522899
4.0600000000000005,93.21977838522898
4.0600000000000005,93.40977838522899
4.0600000000000005,93.569778385229
4.0575,93.73145984205505
4.0575,93.82145984205505
4.0575,94.05645984205505
4.055,94.37569443373741
4.0525,94.64737295547589
4.0525,94.9323729554759
4.0525,95.17737295547589
4.047499999999999,95.38572119992082
4.047499999999999,95.63572119992082
4.047499999999999,95.93072119992081
4.047499999999999,96.18072119992081
4.047499999999999,96.64072119992082
4.047499999999999,96.94072119992083
4.047499999999999,97.34072119992082
4.045,97.98239092573306
4.045,98.45239092573306
4.045,98.90239092573306
4.045,99.01239092573306
4.045,99.37239092573306
4.045,99.48239092573306
4.04,99.750864396818
4.0375,99.98510327485232
4.035,99.99434358030518
4.035,99.99434358030518
4.035,99.9843435803052
4.035,99.9793435803052
4.0325,99.97858531249676
4.0325,99.99858531249677
4.0325,100.01858531249677
4.0325,100.29358531249676
4.0325,100.55358531249676
4.0325,100.61858531249676
4.0325,100.82358531249676
4.0325,101.05858531249677
4.03,101.30525210943301
4.03,101.595252109433
4.03,101.85525210943302
4.03,102.02525210943301
4.03,102.17525210943302
4.03,102.42525210943302
4.03,102.625252109433
4.03,103.000252109433
4.03,103.37025210943301
4.03,103.78025210943301
4.03,104.42025210943302
4.03,104.95525210943302
4.03,105.71525210943301
4.03,106.23525210943302
4.03,106.58025210943302
4.03,106.94525210943301
4.03,107.33025210943302
4.03,107.78025210943301
4.03,108.05525210943301
4.03,108.29025210943301
4.0325,108.57858531249676
4.035,109.06691558668453
4.035,109.71691558668454
4.035,110.21191558668453
4.035,110.49691558668454
4.0375,110.81524293044914
4.0375,111.38524293044914
4.04,111.7985673422396
4.04,112.25856734223959
4.0424999999999995,112.9168888205011
4.045,113.52020736367504
4.045,114.08020736367504
4.0475,114.71852297019893
4.05,115.22683563850649
4.0525,115.68014536702756
4.0525,115.98514536702756
4.0525,116.30514536702755
4.055,116.6534521541881
4.055,116.97845215418809
4.0575,117.33675599841027
4.0575,117.59675599841027
4.06,117.88005689811234
4.06,118.22005689811233
4.06,118.39005689811233
4.0675,118.79487281406418
4.07,119.21816781996517
4.07,119.35316781996518
4.0725,119.73145987657749
4.0725,120.06645987657748
4.077500000000001,120.34551010426945
4.077500000000001,120.59551010426945
4.08,120.77627265433527
4.085,120.97284200672081
4.0875,121.14360598557005
4.09,121.33688622901504
4.092499999999999,121.7301635151454
4.092499999999999,121.92016351514542
4.092499999999999,122.08516351514541
4.092499999999999,122.1201635151454
4.095,122.14592892346306
4.095,122.16092892346306
4.095,122.16092892346306
4.0975,122.16169576193583
4.1,122.16246403125218
4.1,122.16746403125218
4.1025,122.16823373210228
4.1075,122.16977743117306
4.1075,122.16977743117306
4.109999999999999,122.26805175837185
4.1025,122.26573835845097
4.1025,122.26573835845097
4.1,122.26497008913462
4.1025,122.26573835845097
4.1025,122.26573835845097
4.1025,122.27073835845097
4.109999999999999,122.27305175837185
4.1075,122.27227919237681
4.1049999999999995,122.27150805930107
4.1049999999999995,122.27650805930107
4.095,122.2834378423442
4.0975,122.28420325066185
4.1,122.28497008913462
4.1025,122.28573835845097
4.1049999999999995,122.28650805930107
4.1075,122.28727919237681
4.1049999999999995,122.28650805930107
4.1075,122.28727919237681
4.1049999999999995,122.28650805930107
4.1049999999999995,122.28650805930107
4.1049999999999995,122.28650805930107
4.1025,122.28573835845097
4.1025,122.28573835845097
4.1025,122.30573835845097
4.1,122.31997008913461
4.1,122.33497008913461
4.1,122.50497008913462
4.1,122.61497008913462
4.1125,123.09632312501807
4.115,123.4895915294868
4.1175,123.72285697014917
4.1175,123.99285697014915
4.1225000000000005,124.38689344498192
4.1375,125.06399366912365
4.14,125.26977341018066
4.1475,125.8071212588834
4.157500000000001,126.29764962117648
4.1625,126.82167822598925
4.172499999999999,127.45973082071396
4.1775,128.16875480871477
4.1850000000000005,128.60857140007454
4.1925,129.18581752375576
4.1975,129.54241303635615
4.2075,130.18286634509377
4.21,130.3936677178412
4.2175,130.97848661676505
4.2325,131.67291676783148
4.234999999999999,132.10372538738747
4.2425,132.42592608291852
4.245,132.53673760636514
4.2524999999999995,132.92892918387767
4.255,133.1347436141896
4.2625,133.59456162660965
4.2725,134.04491671159835
4.282500000000001,134.5802461064515
4.2925,135.13321530866995
4.3025,135.69617824650243
4.307499999999999,136.21015736371714
4.317500000000001,136.7231108896084
4.327500000000001,137.34336113024608
4.335,137.74086571973805
4.352499999999999,138.4081791357022
4.36,138.91798019432434
4.38,139.54106047487193
4.385,139.92225701836506
4.395,140.21513893578313
4.3975,140.295989958985
4.4025,140.45993000074031
4.407500000000001,140.6888684479724
4.4125,140.96780529959057
4.42,141.26481581118276
4.422499999999999,141.3106742116095
4.422499999999999,141.5356742116095
4.4375,142.0346656869228
4.445,142.2894526937963
4.45,142.5583752590207
4.4575,143.0053468068666
4.4625,143.28208581518163
4.4825,143.94275306573815
4.487500000000001,144.4095099061566
4.4975000000000005,144.92948657852003
4.51,145.2903204232132
4.51,145.43532042321317
4.5275,146.25502746213385
4.5425,146.94959974509288
4.555,147.3053763149327
4.555,147.31037631493268
4.555,147.31037631493268
4.555,147.32037631493267
4.555,147.32537631493267
4.555,147.34037631493268
4.5649999999999995,147.6181486082191
4.577500000000001,148.15389020131948
4.58,148.4047947991722
4.6025,149.37530658960395
4.62,149.84781006314927
4.62,149.96781006314927
4.6274999999999995,150.26961222710352
4.63,150.320530390573
4.640000000000001,150.6952546040895
4.6425,150.82117579184163
4.6625,151.62355925212353
4.665,151.70448649915312
4.665,151.71448649915314
4.6675,151.7154152632465
4.6675,151.7154152632465
4.6675,151.7204152632465
4.6675,151.7454152632465
4.68,152.2479769647794
4.6925,152.73157351309783
4.695,152.73250987608566
4.695,152.73250987608566
4.695,152.74250987608565
4.695,152.74750987608567
4.695,152.75750987608566
4.7025,153.009231573992
4.71,153.27399902707276
4.7175,153.4707061057611
4.7175,153.54570610576113
4.720000000000001,153.61665009047195
4.7275,153.98334740554728
4.73,154.04929444540153
4.7425,154.31170809888872
4.7425,154.3267080988887
4.744999999999999,154.3426581976014
4.7475,154.44860982714215
4.7525,154.68242122119295
4.7525,154.71742122119295
4.755000000000001,154.77337591519859
4.755000000000001,154.79337591519857
4.7575,154.83933214284565
4.765000000000001,155.0478875128989
4.765000000000001,155.0628875128989
4.765000000000001,155.09288751289893
4.7675,155.1588452751298
4.77,155.17980457288917
4.77,155.18980457288916
4.77,155.20480457288915
4.77,155.22480457288913
4.7825,155.56212738353292
4.785,155.67808975519233
4.785,155.75308975519232
4.785,155.7680897551923
4.785,155.7830897551923
4.795,156.0775411799793
4.795,156.09254117997932
4.795,156.1075411799793
4.7975,156.13850662934493
4.7975,156.17350662934493
4.800000000000001,156.22947361899674
4.800000000000001,156.21947361899674
4.800000000000001,156.21947361899674
4.800000000000001,156.21947361899674
4.800000000000001,156.27447361899675
4.8025,156.28044214989325
4.8025,156.28044214989325
4.8025,156.28044214989325
4.8025,156.28044214989325
4.8025,156.28044214989325
4.8025,156.28544214989324
4.8025,156.28044214989325
4.8025,156.28544214989324
4.8025,156.31044214989322
4.8100000000000005,156.59390048064546
4.8125,156.65987055374748
4.8149999999999995,156.7208421700181
4.8175,156.79681533042287
4.83,157.139022304756
4.83,157.204022304756
4.835,157.28097635495817
4.842499999999999,157.69936634566574
4.8475,157.79632658794827
4.85,157.87730903356427
4.859999999999999,158.19344995231774
4.8625,158.30943394889206
4.875,158.75472790308743
4.88,158.89670676872788
4.895,159.2697409607893
4.895,159.37474096078927
4.9,159.46673228164823
4.9125,159.8387267057141
4.9125,159.89372670571407
4.915,159.94972626640816
4.9175,160.02072738902092
4.925,160.29220848348353
4.9325,160.52367791353637
4.9375,160.73741135145616
4.945,160.82715198826162
4.9475,160.8531625037029
4.952500000000001,161.02860116814114
4.955,161.0596132526296
4.9575,161.12562690719346
4.965,161.34706750933032
4.97,161.55579200611623
4.9725,161.62681037710092
4.985,161.8836277976683
4.995,162.20105112474332
4.9975000000000005,162.30207579883682
5.0075,162.50614502397588
5.01,162.56217285590407
5.02,162.71957848601093
5.0225,162.78061106259884
5.03,163.1069770160118
5.035,163.23905009180632
5.045,163.44806147144908
5.047499999999999,163.52410197706166
5.05,163.59514407169127
5.0625,164.0167705040268
5.0675,164.12886264807508
5.085,164.47911350265764
5.09,164.54621840213866
5.09,164.57121840213864
5.09,164.57621840213864
5.09,164.57621840213864
5.09,164.57621840213864
5.09,164.57621840213864
5.09,164.57621840213864
5.09,164.57121840213864
5.09,164.56121840213865
5.09,164.56121840213865
5.09,164.56121840213865
5.09,164.57121840213864
5.09,164.58121840213863
5.09,164.6062184021386
5.1,164.8916791861261
5.105,165.00379047642923
5.1075,165.04484852088547
5.112500000000001,165.21505849178308
5.112500000000001,165.2400584917831
5.115,165.27111813724594
5.115,165.30611813724596
5.115,165.33111813724594
5.12,165.5097792555109
5.1225000000000005,165.55584210630747
5.1225000000000005,165.58084210630744
5.125,165.60190656143652
5.125,165.64690656143654
5.1274999999999995,165.70797262201216
5.1425,166.11698838579224
5.1425,166.17198838579225
5.145,166.24805766061397
5.15,166.34520103779738
5.1525,166.3762751424117
5.1525,166.4012751424117
5.18,166.84798966399396
5.1825,166.90906699411758
5.1825,166.97406699411758
5.1850000000000005,167.04014593869846
5.1875,167.08622649887522
5.1925,167.2263128877911
5.1975,167.32493306930309
5.2,167.36601686409907
5.2,167.36101686409907
5.2,167.34601686409906
5.2,167.33101686409907
5.1975,167.2784788595013
5.1975,167.26347885950128
5.1975,167.25847885950128
5.1975,167.25847885950128
5.1975,167.25847885950128
5.1975,167.25847885950128
5.1975,167.26347885950128
5.1975,167.27347885950127
5.1975,167.2784788595013
5.2,167.33101686409907
5.2,167.34101686409906
5.2,167.34601686409906
5.2,167.35601686409905
5.2,167.36101686409907
5.2,167.36601686409907
5.202500000000001,167.47355140499184
5.202500000000001,167.48855140499185
5.202500000000001,167.51355140499186
5.202500000000001,167.55855140499185
5.202500000000001,167.57355140499186
5.202500000000001,167.62355140499184
5.202500000000001,167.93855140499184
5.202500000000001,167.95855140499185
5.205,167.97463681881663
5.2075,168.05572385282017
5.220000000000001,168.40191597741705
5.2225,168.4330062552389
5.2225,168.4530062552389
5.2275,168.5001916829795
5.2275,168.52519168297948
5.2275,168.5701916829795
5.23,168.62128683522343
5.2325,169.0373836146046
5.2325,169.08238361460462
5.235,169.11348202229277
5.237500000000001,169.18958205946046
5.237500000000001,169.27458205946047
5.237500000000001,169.31958205946046
5.237500000000001,169.32458205946045
5.23,169.58700966452875
5.23,169.59200966452875
5.23,169.60700966452873
5.23,169.61700966452872
5.23,169.62200966452875
5.23,169.63200966452874
5.234999999999999,169.65421463200727
5.234999999999999,169.69921463200725
5.225,169.87906954673417
5.225,169.92906954673415
5.217499999999999,170.04142441364752
5.217499999999999,170.04642441364754
5.217499999999999,170.06142441364756
5.22,170.08752934631787
5.22,170.10752934631788
5.215,170.1824153385923
5.215,170.1974153385923
5.215,170.2274153385923
5.1975,170.4794079752146
5.1975,170.5744079752146
5.1975,170.6044079752146
5.1975,170.6094079752146
5.1975,170.61940797521459
5.1775,170.84362271815493
5.1775,170.90862271815493
5.1775,170.93362271815494
5.1775,170.94862271815492
5.1775,170.9636227181549
5.1775,170.99362271815494
5.1775,171.00862271815492
5.1775,171.01362271815492
5.1775,171.01862271815492
5.1775,171.03362271815493
5.12,171.422656808844
5.12,171.442656808844
5.12,171.47265680884402
5.12,171.522656808844
5.12,171.57765680884398
5.12,171.622656808844
5.12,171.632656808844
5.165,171.76669748382398
5.165,171.76669748382398
5.16,171.77127543185395
5.16,171.79127543185396
5.16,171.79127543185396
5.15,171.820411385944
5.06,172.33144469552897
4.91,172.96179672337692
4.91,172.96179672337692
4.905,172.9660417136785
4.905,172.9660417136785
4.895,173.00451247335502
4.885,173.03295763456737
4.82,173.3172296330847
4.695,173.7285977695584
4.635,173.87586712771198
4.56,174.08370226401178
4.495,174.32271044301876
4.37,174.75407610157268
4.29,174.94058158821971
4.26,175.02137854352756
4.24,175.0651247796057
4.22,175.10877653593397
4.135,175.39574716943005
4.06,175.5846134066691
4.005,175.69961945844943
3.955,175.840837955885
3.945,175.87701275216813
3.895,175.96754343993223
3.875,175.99959591948962
3.855,176.06155734641283
3.825,176.1393291352963
3.745,176.32572515578087
3.71,176.40557011257303
3.695,176.44399095315953
3.675,176.48514036948475
3.645,176.5616968708793
3.585,176.72420831896662
3.45,177.01444473763837
3.345,177.20630555714143
3.3,177.26779574116202
3.265,177.314206469674
3.22,177.37491647599728
3.2,177.41398060221061
3.15,177.48626413778868
3.125,177.52720449619213
3.065,177.6429151746924
2.46,177.95967496488313
2.425,177.96987920433006
2.295,178.00557160364914
2.235,178.03087460925303
1.97,178.22967079441798
1.56,178.29259854013213
1.525,178.29640164649499
1.42,178.3163353788902
1.32,178.323740542216
1.245,178.32797976397848
1.17,178.3310929561664
